abs,tcs,airspeed,wheelspeed,rpm,throttle input,throttle,brake input,brake,steering input,steering,gear,time,BAC
0.0,0,0.0024251469876617193,0.0023433840833604336,921.5459594726562,0.0,0.0,0.0,0.0,-0.13725000619888306,69.99749755859375,b'\x02',7635.9564057,0.0
0.0,0,0.002777368761599064,0.002626715460792184,915.083740234375,0.0,0.0,0.0,0.0,-0.13725000619888306,69.99749755859375,b'\x02',7636.0884225,0.0
0.0,0,0.002306938637048006,0.00249537848867476,908.8367309570312,0.0,0.0,0.0,0.0,-0.13725000619888306,69.99749755859375,b'\x02',7636.2202104,0.0
0.0,0,0.002178364899009466,0.0034610710572451353,905.6925659179688,0.0,0.0,0.0,0.0,-0.13725000619888306,69.99749755859375,b'\x02',7636.3202847,0.0
0.0,0,0.002512062666937709,0.002117936732247472,906.3212280273438,0.0,0.0,0.0,0.0,-0.13725000619888306,69.99749755859375,b'\x02',7636.4525327,0.0
0.0,0,0.002373448805883527,0.002686981810256839,909.4566650390625,0.0,0.0,0.0,0.0,-0.13725000619888306,69.99749755859375,b'\x02',7636.5847144,0.0
0.0,0,0.002495775930583477,0.002247474854812026,915.4089965820312,0.0,0.0,0.0,0.0,-0.13725000619888306,69.99749755859375,b'\x02',7636.7190933,0.0
0.0,0,0.0025286024902015924,0.002272238489240408,906.2853393554688,0.0,0.0,0.0,0.0,-0.13725000619888306,69.99749755859375,b'\x02',7636.8312229,0.0
0.0,0,0.002063393360003829,0.0027346969582140446,906.019287109375,0.0,0.0,0.0,0.0,-0.13725000619888306,69.99749755859375,b'\x02',7636.9456971,0.0
0.0,0,0.0025182124227285385,0.002725007710978389,906.0709838867188,0.0,0.0,0.0,0.0,-0.13725000619888306,69.99749755859375,b'\x02',7637.0586228,0.0
0.0,0,0.0030732930172234774,0.0026036021299660206,908.5532836914062,0.0,0.0,0.0,0.0,-0.13725000619888306,69.99749755859375,b'\x02',7637.1742009,0.0
0.0,0,0.0028052502311766148,0.002192223910242319,910.5230102539062,0.0,0.0,0.0,0.0,-0.13725000619888306,69.99749755859375,b'\x02',7637.289402,0.0
0.0,0,0.0026424124371260405,0.0022613380569964647,912.266845703125,0.0,0.0,0.0,0.0,-0.13725000619888306,69.99749755859375,b'\x02',7637.405795,0.0
0.0,0,0.002482463140040636,0.0017863045213744044,910.6350708007812,0.0,0.0,0.0,0.0,-0.13725000619888306,69.99749755859375,b'\x02',7637.5224296,0.0
0.0,0,0.0026773863937705755,0.002432120032608509,913.513916015625,0.0,0.0,0.0,0.0,-0.13725000619888306,69.99749755859375,b'\x02',7637.6230169,0.0
0.0,0,0.0029957680962979794,0.0020413456950336695,906.569091796875,0.0,0.0,0.0,0.0,-0.13725000619888306,69.99749755859375,b'\x02',7637.7389797,0.0
0.0,0,0.0027844063006341457,0.00264089391566813,914.2742309570312,0.0,0.0,0.0,0.0,-0.13725000619888306,69.99749755859375,b'\x02',7637.8560804,0.0
0.0,0,0.002443969715386629,0.002458196599036455,909.0867309570312,0.0,0.0,0.0,0.0,-0.13725000619888306,69.99749755859375,b'\x02',7637.9720411,0.0
0.0,0,0.0023176087997853756,0.0025334893725812435,915.0264282226562,0.0,0.0,0.0,0.0,-0.13725000619888306,69.99749755859375,b'\x02',7638.0723007,0.0
0.0,0,0.0022705113515257835,0.003024409292265773,918.2564697265625,0.0,0.0,0.0,0.0,-0.13725000619888306,69.99749755859375,b'\x02',7638.1726629,0.0
0.0,0,0.0024836447555571795,0.002528946381062269,915.3335571289062,0.0,0.0,0.0,0.0,-0.13725000619888306,69.99749755859375,b'\x02',7638.2727199,0.0
0.0,0,0.002651853021234274,0.0035494074691087008,921.3076782226562,0.0,0.0,0.0,0.0,-0.13725000619888306,69.99749755859375,b'\x02',7638.3732186,0.0
0.0,0,0.0027184998616576195,0.002756238216534257,915.3677368164062,0.0,0.0,0.0,0.0,-0.13725000619888306,69.99749755859375,b'\x02',7638.4900179,0.0
0.0,0,0.002185405232012272,0.003040540497750044,918.321533203125,0.0,0.0,0.0,0.0,-0.13725000619888306,69.99749755859375,b'\x02',7638.6052138,0.0
0.0,0,0.0019272314384579659,0.002864859066903591,918.6199951171875,0.0,0.0,0.0,0.0,-0.13725000619888306,69.99749755859375,b'\x02',7638.7059537,0.0
0.0,0,0.002446124330163002,0.0025086458772420883,914.0823364257812,0.0,0.0,0.0,0.0,-0.13725000619888306,69.99749755859375,b'\x02',7638.8220927,0.0
0.0,0,0.0025270243640989065,0.002399891149252653,913.9519653320312,0.0,0.0,0.0,0.0,-0.13725000619888306,69.99749755859375,b'\x02',7638.9236066,0.0
0.0,0,0.0022777970880270004,0.002656935714185238,915.2213134765625,0.0,0.0,0.0,0.0,-0.13725000619888306,69.99749755859375,b'\x02',7639.0385175,0.0
0.0,0,0.002167247235774994,0.0019618875812739134,913.9523315429688,0.0,0.0,0.0,0.0,-0.13725000619888306,69.99749755859375,b'\x02',7639.1386307,0.0
0.0,0,0.0021900467108935118,0.0026323997881263494,917.1221923828125,0.0,0.0,0.0,0.0,-0.13725000619888306,69.99749755859375,b'\x02',7639.2386888,0.0
0.0,0,0.0023347651585936546,0.002125072991475463,913.9821166992188,0.0,0.0,0.0,0.0,-0.13725000619888306,69.99749755859375,b'\x02',7639.3388313,0.0
0.0,0,0.002135788556188345,0.00313964718952775,915.5625,0.0,0.0,0.0,0.0,-0.13725000619888306,69.99749755859375,b'\x02',7639.4563339,0.0
